Survey,CountryYear,Country,Region,Source,age_fsex,age_fbirth,ave_bi,ideal,ppi,ttc,ppfp,s_neversex,s_sex_fbirth,s_birth1,s_birth2,s_birth3,s_birth4,s_birth5,s_birth6,s_birth7,s_birth8,s_birth9,s_infecund,CPR_all,Spacing_all,Limiting_all,CPR_mar,Spacing_mar,Limiting_mar,Notes,pop
EGIR61FL,Egypt 2014,Egypt,Africa,2014,20.8,22.6,36.7,3,3.8,4.6,49.3,26.49,5.197157,9.842989,17.304254,16.988161,10.173784,4.741395,1.903909,0.992385,0.470464,0.374901,5.520601,40.8,9.7,31.2,58.5,13.9,44.7,": Assuming non-married women are not sexually active; age at first sex is age at first marriage; use Household roster to calculate percentnot sexually active (never married) then women recode to distribute the ever married population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR",23420937
ETIR70FL,Ethiopia 2016,Ethiopia,Africa,2016,16.6,19.2,34.5,4.5,16,7,22.3,23.271782,8.2400225,10.829379,9.2496047,8.7505497,7.4655581,6.7748779,4.958926,4.6177003,3.2520615,3.2572717,9.3322663,25.3,15.3,10,35.9,21.5,14.3,,24991034
GAIR60FL,Gabon 2012,Gabon,Africa,2012,16.9,19.5,37.6,4.6,7.9,6,13.6,8.5206261,19.162043,17.20756,13.048191,9.7280015,7.2554563,4.605574,3.2371319,1.9773131,1.4660869,1.6132792,12.178737,33.6,27.2,6.4,31.1,22.9,8.3,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",429589
GMIR60FL,Gambia 2013,Gambia,Africa,2013,18.6,20.1,34.2,6,14,6,4.8,26.507186,6.0668027,12.228779,10.394436,8.4643324,6.895712,6.2637598,4.8264213,3.2951352,2.3870697,2.2460562,10.424309,7.1,5.3,1.8,9,6.3,2.6,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",440501
GHIR72FL,Ghana 2014,Ghana,Africa,2014,18.4,21.4,39.4,4.3,10.4,5.4,13.2,12.674413,17.715888,12.795539,12.134116,10.206529,7.9696996,6.0069855,4.0381854,2.1825978,1.0618496,1.3803361,11.833862,22.8,15,7.8,26.7,15,11.7,,6847041
GUIR71FL,Guatemala 2014-15 ,Guatemala,Latin America,2012,18.6,20.6,37.7,3.3,9.9,5.1,31,24.63592,8.1565289,14.720432,14.319377,11.797353,6.9869809,4.4708742,2.855435,1.9361513,1.2091751,1.5899654,7.321807,39.4,14.9,24.5,60.6,22.8,37.8,,4167337
GNIR62FL,Guinea 2012,Guinea,Africa,2012,16.4,18.8,37.2,5.8,21.6,6,5,11.767839,11.189076,12.861533,11.175069,8.6206201,7.4977541,6.6540574,5.0134755,3.4955183,2.6590845,2.1824787,16.883495,8.5,7.4,1.1,5.6,4.3,1.3,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",2590751
HTIR70FL,Haiti 2016-17,Haiti,Latin America,2016-17,17.7,22.4,39.3,2.8,8,6,21.7,17.251771,22.507074,15.404857,12.365421,8.1465388,5.6093867,3.8926847,2.5544932,1.5414885,1.1031374,1.3529593,8.270189,24.1,11.6,12.5,34.3,12.3,22,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",2898412
HNIR62FL,Honduras 2011-12,Honduras,Latin America,2011-12,18.4,20.3,45.5,2.8,8.6,5.5,47.8,20.176555,10.259608,17.293985,16.538668,13.508193,7.743077,4.5921695,2.5622013,1.7356965,0.90729011,1.324565,3.3579912,48.8,18.8,30,73.2,28.2,45,,2196496
IAIR73FL,India 2015-16,India,Asia,2015-16,19,21,32,2.2,6.6,5.6,25,22.03978,6.8360613,11.875193,21.548378,12.710013,6.1216739,2.8610681,1.3690451,0.61580152,0.26644103,0.18342943,13.573114,40.8,4.1,36.7,53.5,5.4,48.1,,336721939
IDIR63FL,Indonesia 2012,Indonesia,Asia,2012,20.6,22,60.2,2.6,3.8,7.6,64,21.535424,4.9327025,18.994209,22.097752,12.617672,5.9387604,2.5474545,1.2099143,0.56276038,0.33578326,0.28590095,8.9416671,45.7,19.6,26,61.9,26.7,35.2,,67874187
JOIR71FL,Jordan 2017-18,Jordan,Asia,2017-18,22.7,24.6,34.2,3.8,3.1,5.3,54.8,40.89,5.775047,6.626231,8.210379,9.333469,9.067474,5.739581,3.42838,1.601881,0.744786,0.632477,7.950295,28.4,9.3,19.2,51.8,16.9,34.9,": Assuming non-married women are not sexually active; age at first sex is age at first marriage; use Household roster to calculate percentnot sexually active (never married) then women recode to distribute the ever married population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR",2492167
KEIR71FL,Kenya 2014,Kenya,Africa,2014,18,20.3,36.3,3.6,8.6,5.3,32.1,14.26782,11.57257,15.880505,15.965231,13.02705,9.1923735,6.0893642,4.3739542,3.1141388,1.9029289,2.0472379,2.5668268,42.6,19.8,23.2,58,25.3,32.7,,11500737
KYIR61FL,Kyrgyz Republic 2012,Kyrgyz,Asia,2012,20.5,22,36.1,3.9,6.1,4.6,15.7,26.225958,6.0759175,12.689524,13.902925,12.193141,8.6861435,4.140887,1.4024397,0.41372205,0.13070134,0.0567482,14.081894,24.4,14.5,9.9,36.3,21.6,14.7,,1527932
LSIR71FL,Lesotho 2014,Lesotho,Africa,2014,18.5,20.9,45.8,2.6,11.2,4.3,45,13.514369,16.776859,20.950011,17.996852,11.754546,6.073202,3.3486429,1.6664527,0.86634115,0.40181911,0.3564368,6.2944682,48.9,20.1,28.7,60.2,22.5,37.6,,564539
LBIR6AFL,Liberia 2013 (20),Liberia,Africa,2013,16.2,18.9,37.4,4.8,13.1,5.6,7.1,6.8927362,14.668516,15.612819,13.258497,9.5207041,7.625427,6.0256184,4.6137408,3.0010586,1.7209081,2.9238142,14.136161,21.7,16.5,5.3,20.2,13.2,7.1,,999841
MDIR51FL,Madagascar 2008-09 (21),Madagascar,Africa,2008-9,17.3,20.1,32.7,4.7,10.7,6,12.1,11.966837,11.466211,13.494676,13.101716,11.355079,8.8062007,6.6184135,5.1246865,3.2771367,2.2492265,3.8486029,8.6912127,31.7,15.9,15.8,39.9,19,21,": Used DHS Unmet algorithm to calculate percent infecund; no calendar data to calculate time to conception, assuming 6 months- the average of countries with data",4672143
MWIR7HFL,Malawi 2015-16 (22),Malawi,Africa,2015-16,16.8,19,41,3.7,12.8,9.2,47.4,11.719779,10.241348,14.735782,13.653148,12.236366,10.36954,8.3553568,5.6408829,3.6158169,2.1214363,1.8458872,5.4646574,46,20.8,25.2,59.2,26.5,32.7,,4170094
MVIR71FL,Maldives 2016-17,Maldives,Asia,2016-17,20.7,23.2,53.4,2.8,5.8,9.2,8.2,21.372306,10.486606,15.155852,14.117348,8.4424523,4.0847473,2.3618629,1.2752793,0.48765794,0.23293601,0.15576874,21.827184,13.3,5.2,8.1,18.8,7.4,11.4,,108818
MLIR6AFL,Mali 2012-13,Mali,Africa,2012-13,17,19.6,33.5,5.9,11.7,6,5.3,8.7332399,7.6304947,11.638888,11.408819,10.819671,10.224298,8.6190114,6.0702302,3.9203587,2.439944,3.2443223,15.250721,9.9,7.2,2.8,10.3,7.1,3.2,,3518108
MZIR62FL,Mozambique 2011,Mozambique,Africa,2011,16.1,19.4,34.8,4.8,15,6,7.2,7.7500746,12.004664,14.006975,12.35655,10.314024,9.2177828,6.5555842,5.1640948,3.8155015,1.9706104,2.2649615,14.579177,27.4,17.5,10,27.1,16,11.1,": CPR data from 2015 AIS; Calendar analysis gives unrealistic results on time to conceive, assume 6 months - the average of countries with data",5802826
MMIR71FL,Myanmar 2015-16,Myanmar,Asia,2015-16,22.5,24.7,49,2.5,4.5,8.1,44.5,33.115685,6.5703523,14.596557,13.728003,9.5099141,5.189217,2.9252951,1.4915368,0.92811815,0.54419793,0.30700973,11.094114,31.6,10.6,21,52.2,17.6,34.7,,14296030
NMIR61FL,Namibia 2013,Namibia,Africa,2013,19,21.6,45.1,3.2,11.3,6.5,47.8,13.908252,17.791394,19.592344,16.692259,11.632134,6.7106154,3.8500375,2.3833119,1.2289051,0.90112208,0.58044655,4.7291778,50.2,28.3,21.9,56.1,23.5,32.6,,615359
NPIR7HFL,Nepal 2016,Nepal,Asia,2016,17.9,20.4,36.7,2.1,7.8,4.5,18.7,20.64032,6.9138092,14.850978,20.365667,13.748268,7.9342686,4.220824,2.2488973,1.0308909,0.35020157,0.29083187,7.4050439,40.8,5.3,35.4,52.6,6.9,45.7,,8060560
NIIR61FL,Niger 2012,Niger,Africa,2012,15.9,18.6,30.9,9.2,14.3,6,16.4,7.7467921,6.2991757,9.4133303,10.103757,9.7108378,9.4061731,8.7570968,7.6236661,6.3005709,4.7440804,7.9529049,11.941615,12.5,11.1,1.4,13.9,12.3,1.6,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",3719311
NGIR6AFL,Nigeria 2013,Nigeria,Africa,2013,17.6,20.2,31.7,6.5,12.6,3.8,6.5,14.342517,13.344822,10.363787,9.4252431,8.9119065,8.2901733,6.646274,5.2467488,3.7552987,2.7239113,3.9325442,13.016773,16,10.9,5.1,15.1,8.5,6.6,,39168093
PKIR71FL,Pakistan 2017-18,Pakistan,Asia,2017-18,20.7,22.8,28.2,3.9,4,3.6,16.5,33.3,6.8034,7.8039,8.62431,8.69101,7.83725,6.07637,3.88194,2.30115,1.45406,1.88761,11.32566,21.8,5.8,16,34.2,9.1,25.1,": Assuming non-married women are not sexually active; age at first sex is age at first marriage; use Household roster to calculate percentnot sexually active (never married) then women recode to distribute the ever married population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR",49619919
PEIR6IFL,Peru 2012,Peru,Latin America,2012,18.7,21.9,51.1,2.3,10.4,5,52.5,18.674861,13.422248,18.531544,18.388877,11.643912,6.4954362,3.495912,2.0450549,1.112214,0.71494049,0.7191585,4.7558412,51.5,20.4,31,75.5,25.8,49.7,: Used DHS Unmet algorithm to calculate percent infecund,8061606
PHIR70FL,Philippines 2017,Philippines,Asia,2017,21.2,23.5,36.8,2.7,6.1,6,40.2,30.407086,6.1246377,13.164661,15.201552,11.26861,5.9277816,3.5587867,2.0334106,1.184561,0.63602646,0.72270937,9.7701773,33.6,10.5,23.1,54.3,16.6,37.6,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",27111134
RWIR70FL,Rwanda 2014-15,Rwanda,Africa,2014-15,21,22.7,38.5,3.4,11.8,4.7,27,26.219964,7.8449216,13.894705,12.659594,9.8835007,7.8945046,6.1368832,4.1421941,2.95986,1.7851405,1.5681834,5.0105482,30.9,14.7,16.2,53.2,25.7,27.5,,2835861
STIR50FL,Sao Tome and Principe 2008-09,Sao Tome and Principe,Africa,2008-9,17.8,19.5,44.2,3.5,7.2,6,31.2,13.320013,11.574484,12.506204,13.747682,12.759758,10.558238,6.8587493,4.3857241,3.1814172,1.9383339,2.3871866,6.7822105,30.7,16.2,14.6,38.4,18.2,20.2,": Used DHS Unmet algorithm to calculate percent infecund; no calendar data to calculate time to conception, assuming 6 months- the average of countries with data",39372
SNIR7ZFL,Senegal 2017,Senegal,Africa,2017,19.7,21.8,34.6,5.3,13.8,6.2,20.9,27.295832,7.7420151,12.376453,9.6986001,8.6930074,7.2964432,5.8378544,4.4072675,3.3267606,2.168585,2.5037745,8.6534068,19.9,14.2,5.7,27.8,19.3,8.5,,3863351
SLIR61FL,Sierra Leone 2013,Siera Leone,Africa,2013,16.4,19.4,36,4.9,18,5.5,6.4,8.7268592,15.294171,12.781091,10.623518,9.2071553,8.575148,7.0768889,4.6840229,3.4008101,2.0372086,2.4520771,15.14105,22.1,17.2,4.8,16.6,10.6,6,,1674115
ZAIR71FL,South Africa 2016,South Africa,Africa,2016,18.1,21.3,55.3,2.6,8.1,6,65.9,11.8474,14.536125,22.301711,20.763097,12.325368,5.228037,2.2423787,0.795236,0.34318798,0.25104797,0.10817344,9.2582386,48.2,20.6,27.6,54.6,17.9,36.7,": Calendar analysis gives unrealistic results on time to conceive, assume 6 months - the average of countries with data",15200070
TJIR70FL,Tajikistan 2017,Tajikistan,Asia,2017,20.2,21.9,28.8,3.4,6.8,7.3,22.5,21.869214,5.8161776,9.7541061,14.208433,15.225074,9.5826745,4.1440977,1.9494292,0.43773762,0.1627576,0.06373142,16.786568,21.3,6.7,14.6,29.3,9.2,20.1,,2295600
TZIR7HFL,Tanzania 2015-16,Tanzania,Africa,2015-16,17.2,19.7,35,4.7,10.5,5.1,20,12.417164,12.216106,15.205062,13.402535,10.540097,8.4743224,6.5531837,5.0709223,3.3940156,2.3808063,3.0032879,7.3424982,32.4,21,11.4,38.4,23.4,15,,12505739
TLIR71FL,Timor-Leste 2016,Timor Leste,Asia,2016,20.5,23,32.2,3.7,16.4,6,30.5,35.232194,3.8471724,8.6240752,8.6098998,7.4652594,6.9538372,5.3426769,3.4792761,2.1797067,1.3795951,1.2907592,15.595548,16.1,10.1,5.9,26,16.4,9.6,": Calendar analysis gives unrealistic results on time to conceive, assume 6 months - the average of countries with data",283166
TGIR61FL,Togo 2013-14,Togo,Africa,2013-14,18.2,20.9,38,4.3,12.5,6,10.9,11.607657,15.135916,13.832087,10.996353,10.02742,8.3682687,6.3110759,4.3016532,2.9736981,1.6834086,1.9034772,12.858986,19.3,13.1,6.3,19.9,11.2,8.7,": No calendar data to calculate time to conception, assuming 6 months- the average of countries with data",1697434
TRIR61FL,Turkey 2013,Turkey,Asia,2013,21,22.9,45,2.8,3.6,4.6,58.9,29.370456,5.7104702,13.142831,23.222284,12.604446,4.6924083,1.9427286,1.3237322,0.68474927,0.42289969,0.49485914,6.3881351,49.6,15.4,34.2,73.4,23,50.4,: No data on sexual activity; Assuming non-married women are not sexually active; age at first sex is age at first marriage,20327499
UGIR7HFL,Uganda 2016,Uganda,Africa,2016,16.9,19.2,31.9,4.8,10.9,6.3,21.1,14.566639,10.91444,12.656622,11.757532,10.020747,8.5228274,7.1664929,5.2668523,4.4841604,3.3220787,4.922176,6.3994322,30.3,17.8,12.5,39,21.7,17.3,,9407843
YEIR61FL,Yemen 2013,Yemen,Asia,2013,18.2,20.8,31.8,4.3,6.4,4.5,32.9,35.86,5.657148,7.998258,8.312544,7.453068,6.439656,5.342862,4.509042,3.27114,2.43732,4.149858,8.575518,20.5,9.5,11,33.5,15.5,18,": Assuming non-married women are not sexually active; age at first sex is age at first marriage; use Household roster to calculate percentnot sexually active (never married) then women recode to distribute the ever married population; all women CPR not avaliable in DHS, assumes no unmarried use, multipled married CPR by % married to calculate all women CPR; no PPI data in most recent DHS, using number from 1997",6273305
ZMIR61FL,Zambia 2013-14,Zambia,Africa,2013-14,17.3,19.1,34.9,4.7,11.5,4.1,28.2,13.364984,10.023119,13.289208,12.398849,11.019431,9.2554499,7.4600582,5.5785579,4.4744421,2.9160708,3.7719187,6.4479119,35.1,21.4,13.7,49,29.3,19.7,,3554145
ZWIR71FL,Zimbabwe 2015,Zimbabwe,Africa,2015,18.7,20.3,43.7,3.9,14.2,4.1,64.6,18.49298,7.2714336,15.094952,17.472398,15.528146,10.434299,5.6184002,3.0114391,1.2391959,0.53903929,0.55198375,4.7457348,48.6,26.3,22.3,66.8,36.4,30.4,,4099066
,,Add your own country data,,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
